KID,Mass,logg,Teff,Amplitude
8230829,0.5162,4.59,3931,4.41
8233795,0.4804,4.56,3839,3.92
8233951,0.3704,4.17,3545,4.66
8241781,0.4162,4.36,3670,6.63
8256511,0.4971,4.68,3882,4.31
8258140,0.515,4.54,3928,3.8
8278444,0.4781,4.49,3833,5.33
8279274,0.4421,4.61,3739,5.61
8288674,0.5244,4.46,3952,4.68
8292445,0.4904,4.79,3865,4.88
8295380,0.5307,4.48,3968,3.73
8297629,0.4207,4.4,3682,1.89
8350261,0.5323,4.87,3972,2.97
8351704,0.4916,4.7,3868,3.15
8362005,0.4286,4.35,3703,2.25
8377909,0.3849,4.4,3585,3.11
8378913,0.528,4.35,3961,2.95
8387903,0.4158,4.53,3669,5.78
8397325,0.4387,4.43,3730,4.66
8416796,0.5394,4.58,3990,2.71
8417053,0.4608,4.64,3788,6.81
8424687,0.5084,4.67,3911,5.21
8426468,0.5233,4.64,3949,4.21
8428104,0.5335,4.43,3975,3.13
8435582,0.5205,4.66,3942,4.18
8455095,0.5398,4.62,3991,3.16
8458445,0.5127,4.55,3922,3.62
8460811,0.5367,4.46,3983,4.43
8476114,0.4376,4.54,3727,5.44
8489251,0.5256,4.59,3955,3.5
8500111,0.4893,4.54,3862,5.11
8506486,0.4188,4.37,3677,4.11
8507576,0.4804,4.56,3839,3.24
8526781,0.5347,4.42,3978,2.69
8548410,0.4889,4.63,3861,2.67
8560092,0.364,4.08,3527,6.47
8561100,0.4885,4.38,3860,1.94
8564323,0.475,4.38,3825,1.17
8584844,0.4218,4.54,3685,4.24
8607535,0.3751,4.11,3558,1.45
8619216,0.5088,4.47,3912,3.31
8621656,0.4099,4.69,3653,5.89
8631751,0.4077,4.59,3647,7.17
8655334,0.3636,4.12,3526,5.13
8655619,0.4312,4.48,3710,4.51
8656421,0.4143,4.5,3665,8.66
8674230,0.4971,4.47,3882,3.44
8683640,0.4738,4.68,3822,2.65
8685007,0.3558,4.43,3504,8.36
8708957,0.4781,4.67,3833,5.26
8712608,0.3955,4.32,3614,5.05
8719129,0.397,4.52,3618,6.49
8733659,0.5323,4.64,3972,2.97
8733834,0.4974,4.64,3883,3.73
8735884,0.3795,4.13,3570,8.23
8740221,0.4293,4.59,3705,7.74
8748150,0.5115,4.67,3919,4.67
8754034,0.5119,4.59,3920,4.9
8766172,0.4248,4.28,3693,5.02
8771391,0.4184,4.33,3676,4.9
8774246,0.3878,4.21,3593,3.54
8803071,0.4331,4.63,3715,2.46
8811972,0.4765,4.69,3829,3.93
8815598,0.3604,4.05,3517,2.46
8827428,0.487,4.61,3856,5.09
8845466,0.5406,4.42,3993,4.65
8872565,0.0,-inf,0,2.19
8906418,0.4854,4.53,3852,4.16
8909876,0.4577,4.52,3780,3.97
8960906,0.4734,4.54,3821,2.64
8973226,0.5343,4.42,3977,32.16
9008142,0.4455,4.73,3748,3.51
9009213,0.4032,4.3,3635,2.79
9026015,0.4043,4.62,3638,5.94
9028977,0.36,4.07,3516,9.06
9030712,0.4471,4.64,3752,3.15
9050725,0.4681,4.49,3807,2.29
9074629,0.5418,4.51,3996,4.01
9076928,0.4417,4.58,3738,11.38
9084486,0.4978,4.55,3884,7.04
9111372,0.4308,4.46,3709,13.75
9112607,0.5355,4.47,3980,2.21
9118939,0.4893,4.52,3862,5.45
9141571,0.3672,4.15,3536,5.87
9142931,0.515,4.76,3928,5.14
9150879,0.5272,4.36,3959,2.42
9156957,0.5138,4.55,3925,5.5
9176383,0.4742,4.59,3823,5.56
9178867,0.4018,4.4,3631,1.96
9202076,0.5186,4.54,3937,2.54
9203794,0.3636,4.09,3526,14.12
9204748,0.5292,4.44,3964,5.21
9222296,0.359,4.05,3513,13.54
9242473,0.5307,4.31,3968,2.28
9267857,0.5347,4.63,3978,3.27
9270182,0.3711,4.1,3547,2.93
9284403,0.3773,4.33,3564,5.25
9301392,0.5351,4.37,3979,5.25
9306035,0.5064,4.51,3906,5.38
9327921,0.5339,4.5,3976,2.36
9329586,0.4804,4.55,3839,5.34
9330545,0.4361,4.6,3723,32.72
9335072,0.4592,4.63,3784,5.27
9347204,0.4463,4.36,3750,7.23
9365185,0.4897,4.5,3863,3.98
9369727,0.5359,4.62,3981,4.88
9388780,0.4808,4.77,3840,3.12
9389594,0.444,4.6,3744,5.77
9395840,0.4062,4.24,3643,3.27
9428095,0.4214,4.32,3684,10.43
9429343,0.5084,4.56,3911,7.47
9446564,0.4619,4.5,3791,5.78
9450368,0.4897,4.46,3863,6.23
9450804,0.4924,4.42,3870,6.85
9452233,0.4192,4.27,3678,4.63
9462919,0.4256,4.53,3695,2.58
9463060,0.457,4.75,3778,4.13
9467900,0.5186,4.55,3937,4.51
9475513,0.5189,4.55,3938,2.03
9512360,0.5029,4.6,3897,2.97
9514298,0.5256,4.42,3955,5.68
9518295,0.4188,4.59,3677,2.54
9578520,0.4271,4.35,3699,1.94
9579672,0.4486,4.64,3756,2.04
9580721,0.4669,4.5,3804,7.12
